Catégorie,Type,Plant?,Climate change,Ozone depletion,"Ionising radiation, HH","Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Ecotoxicity freshwater,Land use,Water scarcity,"Resource use, energy carriers","Resource use, mineral and metals",Climate change - fossil,Climate change - biogenic,Climate change - land use and transform.
Agricultural\Plant production\Vegetables\Transformation,Conventional,1,0.5380429029333191,9.165962734185737e-08,0.14555117145165442,0.0015504222226813715,2.4578273613219003e-08,0.0030510200122838044,0.00022401684444936835,0.0028129101082487043,0.012009930207811883,2.905453660374021,45.298820480828745,3.0684838120174285,9.796132536026407,4.781379229123449e-06,0.5350346359895332,0.0027115938268659815,0.00029667311691989305
Agricultural\Animal production\Avian\Transformation,Organic,0,4.922365720568234,3.6082192650591216e-07,0.6494322555266377,0.015036008389877148,1.106693255669632e-06,0.16290693811502313,0.0014086523876080668,0.041156449507611576,0.7075836301138684,18.97263941926297,1307.6360986100826,11.345134977607804,41.049200964469584,6.518095871776796e-06,3.7424182027656347,0.135545569285043,1.0444019485175546
Agricultural\Animal production\Bovine\Transformation,Organic,0,12.001226138754785,2.3832006654689e-07,0.39573360944127167,0.016362258885908997,1.09149198528407e-06,0.1642627759873462,0.0005099262384564439,0.02699357856378192,0.7323774687803647,15.81309159859013,2299.8192715286555,2.1037442410453915,21.682780593533465,5.225521400477017e-06,2.8965776691640697,8.858563554076662,0.24608491551405337
Agricultural\Animal production\Dairy\Transformation,Organic,0,1.0348406266240198,2.351725673228637e-08,0.05466265603468802,0.0014642135265695376,8.27272942345375e-08,0.012546757894552996,5.075505662435417e-05,0.0026554319103704377,0.05590722811227229,1.5447527822210931,204.51670191984448,0.2507284805454187,2.375052931702091,4.7240668344463863e-07,0.25833773662891224,0.7503418717137085,0.026161018281399162
Agricultural\Animal production\Ovine\Transformation,Organic,0,12.853280507935336,1.3227959497623128e-07,0.07772793723715149,0.01331871031454637,6.339699400426302e-07,0.09722373500480769,0.0007063226481737752,0.07698631906894594,0.43660104235024844,16.727441642999004,6551.6702783431165,1.1887950034755244,9.496520058586636,2.7282021219769606e-06,2.3625957080260984,10.217987138567137,0.27269766134209855
Agricultural\Animal production\Porcine\Transformation,Organic,0,16.026863027798118,5.19132328557071e-07,1.0503160939691962,0.027441223971138334,1.8880080612510295e-06,0.2838792920577106,0.002761857599393484,0.13514939829582237,1.2506637183355167,32.492592415415665,5168.648386948784,7.995409098205384,52.29631021848119,1.0961692593448217e-05,8.600791401393948,3.1509785958708827,4.275093030533283
Agricultural\Plant production\Cereals\Transformation,Organic,1,0.5116910287298089,2.4123073309887213e-08,0.021466228555679062,0.0015229352412796037,2.532827656909771e-08,0.0045476293754072306,0.00020701718218966297,0.008916280533936699,0.020718836757802,5.055955940630516,372.90723126877026,0.9811697237496569,1.8191428345427703,5.024295736007486e-07,0.24674334125974776,0.00022529022691112984,0.26472239724315
Agricultural\Plant production\Fruits\Transformation,Organic,1,0.44687352798778546,7.481681922894616e-08,0.05708675352182679,0.003837973501072294,2.607629356981326e-08,0.005941346492499426,0.0001826165543265053,0.004054415190825124,0.02552165854247369,5.245198045393349,7.180065909725185,5.405648328100682,5.972829656749163,6.349059691057028e-06,0.44638347038008014,0.00037761172900114447,0.0001124458787041952
Agricultural\Plant production\Legumes\Transformation,Organic,1,0.9316181358743212,2.9227708550153648e-08,0.03583783471627302,0.0017410277418441877,2.5218005690168116e-08,0.004648306208562389,0.00034115577895560444,0.014104318111158878,0.021153424164855526,1.4346820221468695,487.97853072718686,2.799381488610629,2.3537878645853385,5.870025324847232e-07,0.3420385649299658,0.00023363671075503914,0.5893459342335999
Agricultural\Plant production\Oil seeds\Transformation,Organic,1,0.6607745226596816,5.3507146341394284e-08,0.0263096400673338,0.0031961064484145366,4.7826098261919395e-08,0.008624679714184966,0.0006392346492157787,0.01488650758609432,0.03860955864674077,3.5670136439805695,762.342803169147,0.03685927475710859,3.7533035605242886,1.2119477268975209e-06,0.492774461691609,0.00010821841681232401,0.16789184255126025
Agricultural\Plant production\Roughage\Transformation,Organic,1,0.16055498100659052,1.5234108726435414e-08,0.014693241985599617,0.0008358430750533826,1.778751607390836e-08,0.0029717880814142316,5.046830353506186e-05,0.0036737103126460165,0.013117314982075964,0.16574070185831544,228.025652899028,0.5227830167817162,1.2060690231330968,3.947866017844898e-07,0.1604204493030331,6.415305418839319e-05,7.037864936907804e-05
Agricultural\Plant production\Vegetables\Transformation,Organic,1,0.24288970887889758,6.213702396844219e-08,0.12111419763812087,0.0009727145034897485,1.1092887681959182e-08,0.001926066759723565,5.505248345578368e-05,0.001683327946557797,0.008296480123385786,0.6757135743815927,48.3877547871669,1.4158162260678377,4.4537160939244576,2.1999731873128016e-06,0.24167865572974565,0.0011279032760365664,8.314987311531509e-05
